,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
134,44,2,XRSTR_1,-28788.25768954107,27814.0,949178.0456299058,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
135,45,0,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
136,45,1,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, 1672.0, 0)"
137,45,2,XRSTR_2,-27919.207354783273,26886.0,1067517.43797825,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
138,46,0,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
139,46,1,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, 1672.0, 0)"
140,46,2,XRSTR_1,-27920.318113647743,26886.0,1069813.9602198259,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
141,47,0,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
142,47,1,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, 1672.0, 0)"
143,47,2,XRSTR_2,-27919.207354783273,26886.0,1067517.43797825,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
144,48,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
145,48,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
146,48,2,XRSTR_2,-28145.813989399154,27215.0,866414.682861168,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
147,49,0,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
148,49,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
149,49,2,XRSTR_1,-28788.25768954107,27814.0,949178.0456299058,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
150,50,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
151,50,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
152,50,2,XRSTR_2,-28145.813989399154,27215.0,866414.682861168,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
