,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
85,21,1,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1611.0, 3086.0, 180)"
86,21,2,XM4_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1265.0, 3086.0, 180)"
87,21,3,XM2_x3_x1_x1,-2661.0,2661.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
88,22,0,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1857.0, 3086.0, 180)"
89,22,1,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1511.0, 3086.0, 180)"
90,22,2,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1215.0, 3086.0, 180)"
91,22,3,XM4_x3_x1_x1,-3845.0,3845.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
92,23,0,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1957.0, 3086.0, 180)"
93,23,1,XM4_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1611.0, 3086.0, 180)"
94,23,2,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1215.0, 3086.0, 180)"
95,23,3,XM3_x3_x1_x1,-4345.0,4345.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
96,24,0,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
97,24,1,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1561.0, 3086.0, 180)"
98,24,2,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1215.0, 3086.0, 180)"
99,24,3,XM4_x3_x1_x1,-4045.0,4045.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
100,25,0,XM4_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
101,25,1,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1511.0, 3086.0, 180)"
102,25,2,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1165.0, 3086.0, 180)"
103,25,3,XM3_x3_x1_x1,-2761.0,2761.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
104,26,0,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
105,26,1,XM4_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1561.0, 3086.0, 180)"
106,26,2,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1215.0, 3086.0, 180)"
107,26,3,XM2_x3_x1_x1,-4045.0,4045.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
108,27,0,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
109,27,1,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1561.0, 3086.0, 180)"
