,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
1594,531,1,XDP_XM1_XM2,0.0,0.0,0.0,"(979, 40, 90)","(979.0, 40.0, 90)"
1595,531,2,XM5,-5513.479725175879,5286.0,51747.02536609361,"(172, 693, 0)","(172.0, 693.0, 0)"
1596,532,0,XDL_XM3_XM4,0.0,0.0,0.0,"(826, 480, 180)","(961.5, 480.0, 180)"
1597,532,1,XDP_XM1_XM2,0.0,0.0,0.0,"(202, 144, 0)","(202.0, 144.0, 0)"
1598,532,2,XM5,-4833.727208837218,4543.0,84522.30995827938,"(674, 230, 90)","(674.0, 230.0, 90)"
1599,533,0,XM5,0.0,0.0,0.0,"(777, 678, 180)","(777.0, 678.0, 180)"
1600,533,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1216, 79, 0)","(1216.0, 79.0, 0)"
1601,533,2,XDL_XM3_XM4,-6940.50991776365,6596.0,118687.08343751713,"(791, 1400, 90)","(791.0, 1400.0, 90)"
1602,534,0,XM5,0.0,0.0,0.0,"(1333, 856, 0)","(1414.0, 856.0, 0)"
1603,534,1,XDP_XM1_XM2,0.0,0.0,0.0,"(96, 562, 0)","(96.0, 562.0, 0)"
1604,534,2,XDL_XM3_XM4,-7267.91085857813,6843.0,180549.23773760293,"(1068, 969, 0)","(1068.0, 969.0, 0)"
1605,535,0,XM5,0.0,0.0,0.0,"(1211, 798, 90)","(1211.0, 708.0, 90)"
1606,535,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1224, 1125, 180)","(1224.0, 1341.5, 180)"
1607,535,2,XDL_XM3_XM4,-3743.1798939552777,3508.0,55309.58252081568,"(1371, 1054, 90)","(1371.0, 1054.0, 90)"
1608,536,0,XM5,0.0,0.0,0.0,"(797, 53, 0)","(797.0, 53.0, 0)"
1609,536,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1187, 1016, 180)","(1187.0, 1016.0, 180)"
