,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
988,329,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1161, 954, 0)","(1161.0, 954.0, 0)"
989,329,2,XM5,-5024.862693165862,4771.0,64446.26698142431,"(399, 1283, 90)","(399.0, 1283.0, 90)"
990,330,0,XDP_XM1_XM2,0.0,0.0,0.0,"(133, 1488, 270)","(133.0, 1488.0, 270)"
991,330,1,XM5,0.0,0.0,0.0,"(485, 1384, 180)","(485.0, 1384.0, 180)"
992,330,2,XDL_XM3_XM4,-5040.541365979204,4761.0,78143.37529351929,"(552, 380, 180)","(552.0, 380.0, 180)"
993,331,0,XM5,0.0,0.0,0.0,"(1541, 1186, 0)","(1541.0, 1048.0, 0)"
994,331,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1361, 1556, 180)","(1361.0, 1556.0, 180)"
995,331,2,XDP_XM1_XM2,-7385.080870574752,7130.0,65066.25053317362,"(167, 1240, 0)","(167.0, 1240.0, 0)"
996,332,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1146, 68, 180)","(1146.0, 68.0, 180)"
997,332,1,XDP_XM1_XM2,0.0,0.0,0.0,"(90, 648, 180)","(90.0, 743.0, 180)"
998,332,2,XM5,-5774.522491126839,5499.0,75912.64311673901,"(70, 464, 0)","(70.0, 464.0, 0)"
999,333,0,XDP_XM1_XM2,0.0,0.0,0.0,"(499, 266, 90)","(499.0, 266.0, 90)"
1000,333,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1131, 1130, 180)","(1131.0, 1130.0, 180)"
1001,333,2,XM5,-5960.362539895115,5615.0,119275.28396280509,"(678, 827, 180)","(678.0, 827.0, 180)"
1002,334,0,XM5,0.0,0.0,0.0,"(1272, 1311, 90)","(1272.0, 1311.0, 90)"
1003,334,1,XDP_XM1_XM2,0.0,0.0,0.0,"(675, 1454, 0)","(675.0, 1454.0, 0)"
1004,334,2,XDL_XM3_XM4,-5909.655702606583,5601.0,95268.34275156313,"(1148, 256, 180)","(1148.0, 256.0, 180)"
1005,335,0,XDP_XM1_XM2,0.0,0.0,0.0,"(683, 51, 90)","(683.0, 51.0, 90)"
1006,335,1,XDL_XM3_XM4,0.0,0.0,0.0,"(953, 681, 0)","(953.0, 681.0, 0)"
1007,335,2,XM5,-5552.151505821002,5333.0,48027.382503612374,"(274, 1299, 270)","(274.0, 1299.0, 270)"
1008,336,0,XDL_XM3_XM4,0.0,0.0,0.0,"(702, 748, 90)","(702.0, 748.0, 90)"
1009,336,1,XM5,0.0,0.0,0.0,"(746, 761, 0)","(746.0, 1035.5, 0)"
1010,336,2,XDP_XM1_XM2,-3472.300263072521,3284.0,35456.98907318063,"(749, 432, 0)","(749.0, 432.0, 0)"
1011,337,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1531, 1144, 0)","(1531.0, 1144.0, 0)"
1012,337,1,XDP_XM1_XM2,0.0,0.0,0.0,"(791, 1265, 270)","(791.0, 1265.0, 270)"
1013,337,2,XM5,-5981.147228803793,5767.0,45859.03560434404,"(74, 371, 0)","(74.0, 371.0, 0)"
1014,338,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1097, 115, 90)","(1097.0, -128.0, 90)"
1015,338,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1177, 1156, 180)","(1177.0, 1156.0, 180)"
1016,338,2,XM5,-4618.921244199097,4367.0,63464.31327882114,"(1147, 224, 0)","(1147.0, 224.0, 0)"
1017,339,0,XDP_XM1_XM2,0.0,0.0,0.0,"(490, 288, 180)","(490.0, 288.0, 180)"
1018,339,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1268, 44, 0)","(1268.0, 44.0, 0)"
1019,339,2,XM5,-5174.202781118149,5053.0,14690.114150773828,"(732, 1441, 0)","(732.0, 1441.0, 0)"
1020,340,0,XDL_XM3_XM4,0.0,0.0,0.0,"(939, 401, 0)","(939.0, 401.0, 0)"
1021,340,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1351, 754, 270)","(1351.0, 754.0, 270)"
